Company Name,Category,Revenue Estimate,Employees,Branches/Depots,Service Vans,Description,Services,Notable Info,Website
Michelin UK,Manufacturer/Wholesaler,Part of €28.4B global,500+ UK staff,500+ dealers,300+,"Global tyre manufacturer with UK HQ in Stoke-on-Trent. Operates retreading factory in Lincolnshire (Bulldog brand). Major fleet service provider.",Truck tyres manufacturing/distribution/retreading/fleet management,Owns Euromaster network. Bulldog retreading 75000 casings annually,https://www.michelin.co.uk
Bridgestone UK,Manufacturer/Wholesaler,Part of $30B global,400+ UK staff,317 outlets via 122 Truck Point dealers,250+,"Japanese manufacturer with Truck Point dealer network. Fleet Care services. Operates Qualitread retreading.",Truck tyres/retreading/fleet management/24hr breakdown,"122 Truck Point dealers managing 90,000 tyres. LRQA quality accreditation program",https://www.bridgestone.co.uk
Continental UK,Manufacturer/Wholesaler,Part of €44B global,800+ UK staff,350+ service points,400+,"German manufacturer. Acquired Bandvulc 2016. Manages tyres for 2/3 of UK supermarket fleets including Tesco Asda Sainsbury's.",Truck tyres/retreading/fleet management/ContiPressureCheck,"Bandvulc acquisition makes them major player in UK grocery logistics fleet tyres",https://www.continental-tyres.co.uk
Goodyear UK,Manufacturer/Wholesaler,$200M-400M UK estimate,300+ UK staff,TruckForce network 150+,200+,"American manufacturer with TruckForce dealer network. Part of Goodyear Dunlop.",Truck tyres/fleet services/24hr breakdown,Acquired Cooper Tire 2021 for $2.8B,https://www.goodyear.eu/en_gb/truck
Bandvulc (Continental),Retreader/Fleet Manager,£80M+ estimate,500+ staff,National coverage,300+,"Europe's largest truck tyre retreader. 200000 retreads per year. Handles 70% UK grocery delivery fleets.",Retreading/fleet management/24hr breakdown/tyre fitting,"Part of Continental since 2016. ISO 9001 certified",https://www.bandvulc.com
Tructyre ATS,Wholesaler/Retailer,$750M revenue,2600+ employees,340 centres,820+ vans,"UK's largest comprehensive tyre distributor. Part of Michelin via Euromaster. Covers cars vans trucks buses agricultural.",All tyres/fleet management/MOT/servicing/24hr breakdown,"Formerly ATS Euromaster. 550+ technicians. 100+ service vans",https://www.atseuromaster.co.uk
Stapleton's Tyre Services,Wholesaler/Distributor,£200M+ revenue,1000+ employees,11 distribution centres,400+ delivery vehicles,"UK's largest tyre wholesaler. Part of ITOCHU Corporation. Supplies Kwik Fit network.",Wholesale distribution/Central Tyre network/Tyre Pros network,"Holds 1.5M+ tyres in stock. Owns Central Tyre (29 sites) truck/agri",https://www.stapletons-tyreservices.co.uk
Kirkby Tyres,Wholesaler/Distributor,£60.4M revenue 2024,120+ employees,National distribution,80+,"Liverpool-based wholesaler. UK Tyre Wholesaler of the Year 2024/2025. BKT UK distributor.",Wholesale truck/agricultural/OTR tyres,"Imports BKT Sailun Double Coin brands. Strong truck tyre focus",https://www.kirkbytyres.co.uk
Bush Tyres,Retailer/Fleet Manager,$21.1M revenue,63 employees,21 branches,50+,"Lincolnshire-based independent. Strong commercial truck tyre presence.",Commercial truck tyres/fleet management/car tyres,"Family business since 1960s. ITDN member",https://www.bushtyres.co.uk
Point S UK,Network/Wholesaler,$33M revenue,200+ via network,300+ branches,150+,"European buying group. UK members are independent dealers.",Truck tyres/car tyres/fleet services,"Part of Point S International with 6000+ centres globally",https://www.point-s.co.uk
Vacu-Lug,Retreader,£15M+ estimate,162 employees,1 main facility + service centres,40+,"Europe's largest independent retreader. Based in Grantham Lincolnshire.",Truck tyre retreading/remoulding/hot cure process,"Member of Marangoni Retread Division. ISO certified",https://www.vacu-lug.co.uk
TRP Parts,Parts/Tyres Distributor,$50M+ UK estimate,300+ UK staff,140+ UK locations,National network,"PACCAR parts division. Supplies truck tyres alongside parts.",Truck tyres/truck parts/commercial vehicle parts,"Part of DAF/PACCAR network. 80000+ parts available",https://www.trp.com
Micheldever Group,Wholesaler/Retailer,£575M turnover,2301 employees,300+ fitting locations,1800 reserve locations,"UK's largest independent wholesaler distributor retailer. Part of Sumitomo Rubber.",All tyres wholesale/retail/fleet solutions/MFS fleet services,"Sells 6M tyres annually. 20% UK market share. 1.3M tyres in stock",https://www.micheldevergroup.co.uk
National Tyres (Halfords),Retailer/Fleet Services,Part of Halfords £1.6B,3000+ group staff,240+ branches,200+ vans,"UK's largest independent tyre autocare specialist. Part of Halfords since merger.",Truck tyres/car tyres/MOT/servicing/24hr mobile,"Combined 1400+ locations with Halfords. National Fleet division",https://www.national.co.uk
Kwik Fit,Retailer/Fleet Services,$935M revenue estimate,2025 employees,697 centres,185 mobile vans,"UK's largest SMR network. Part of ITOCHU. Sister company to Stapleton's.",Tyres/MOT/servicing/fleet services,"Fits 4M tyres annually. 1.2M to fleet. Central Tyre 29 truck sites",https://www.kwik-fit.com
Hankook UK,Manufacturer,Part of $6.4B global,50+ UK staff,200+ via dealers,Fleet partners,"Korean manufacturer. 5.2% global commercial tyre market share.",Truck/bus tyres via dealer network,"Sponsors UK truck shows. Fleet Management Service partners",https://www.hankooktire.com/uk
McConechy's (Halfords),Retailer/Commercial Fleet,£69M pre-acquisition,320+ staff,60+ sites,130+ breakdown vans,"Scottish-based. Acquired by Halfords 2019 for £8.5M. Strong commercial vehicle focus.",Truck/van/car tyres/24hr breakdown/fleet management,"6th largest UK tyre retailer. 40+ years commercial fleet experience",https://www.mcconechys.co.uk
Lodge Tyre (Halfords),Commercial/Fleet,$64.6M revenue,450+ employees,50+ depots,248 mobile vans,"Midlands-based. Acquired by Halfords 2022 for £37.2M. UK's largest independent commercial.",Commercial truck tyres/24hr breakdown/fleet management,"Makes Halfords UK's largest commercial tyre provider",https://www.lodgetyre.co.uk
Redpath Tyres,Commercial/Ag Specialist,£10M+ estimate,100+ staff,6+ depots,60 service vans,"Scottish specialist in commercial agricultural earthmover tyres. Est 1974.",Truck/agricultural/earthmover tyres/retreading repairs,"Bridgestone fleet award winner. Michelin approved repairer (1 of 3 UK)",https://www.redpath-tyres.co.uk
International Tyres,Wholesaler,$30M+ estimate,50+ staff,Birmingham HQ,National delivery,"Truck tyre wholesale specialist since 1990. 1 in 10 UK replacement truck tyres.",Truck tyre wholesale/next day delivery UK wide,"30000+ tyres in stock. Same day local delivery",https://www.internationaltyres.com
Tyrenet,Network/Breakdown,£5M+ estimate,20+ staff + 1000 dealers,1000+ depots via network,500+ via partners,"Largest independent tyre dealer network UK. Breakdown service specialist.",24hr breakdown/truck tyre fitting/fleet management,"200+ vehicles daily. 90 min response. TEN European network shareholder",https://www.tyrenet.net
ITDN,Network/Breakdown,£8M+ estimate,50+ call centre,600+ member dealers,Network vans,"Independent Tyre Distributors Network since 1985. Member-owned breakdown service.",24hr truck van plant breakdown/national coverage,"122000 breakdowns 2023. 53 min average response. 49000 tyres fitted",https://www.itdn.org.uk
Tanvic Group,Retailer/Commercial/Wholesale,£70M turnover,260 employees,20 branches,120+ vehicles,"Midlands East Anglia based. Three divisions: Retail Commercial Wholesale.",Commercial truck/agricultural tyres/24hr breakdown/wholesale,"200000 tyres in stock. ITDN member. Founded 1970",https://www.tanvic.co.uk
Central Tyre (Stapleton's),Commercial/Agricultural,Part of Stapleton's,200+ staff,29 centres,125+ mobile vans,"Commercial and agricultural tyre specialist. Part of ITOCHU via Stapleton's.",Truck/HGV/agricultural/plant tyres/24hr service,"ISO 9001 certified. National 24hr breakdown",https://www.central-tyre.com
Soltyre,Commercial/Fleet,£8M+ estimate,52 technicians,6 depots,40+ vans,"Scottish-based independent. Est 2009 Dumfries. Growing presence Scotland to Yorkshire.",Truck/van/agricultural tyres/fleet management/24hr,"Uses Fitter-Force digital systems. NTDA/REACT trained staff",https://www.soltyre.co.uk
